AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,2,Iqbal Shetty,51,M,A1
2,2,Puneeth Hegde,29,M,A2
3,3,Nataraj Naik,42,M,A1
4,5,Roopa Achar,34,F,A1
5,5,Gopal Poojary,55,M,A2
6,5,Sowmya Fernandes,21,F,A3
7,6,Usha Rao,29,F,A1
8,6,Roopa Achar,35,F,A2
9,6,Roopa Achar,35,F,A3
10,6,Mahesh Gowda,39,M,A4
11,8,Sunitha Kumar,37,F,A1
12,10,Santosh Sheikh,20,M,A1
13,10,Radha Nair,31,F,A2
14,12,Vani Khan,55,F,A1
15,12,Usha Sheikh,20,F,A2
16,13,Yamuna Kumar,26,F,A1
17,13,Usha Patil,37,F,A2
18,14,Santosh Shetty,31,M,A1
19,15,Anitha Reddy,41,F,A1
20,15,Ayesha Poojary,34,F,A2
21,15,Puneeth Rao,52,M,A3
22,16,Puneeth Hegde,28,M,A1
23,19,Pooja Fernandes,50,F,A1
24,19,Yogesh Poojary,22,M,A2
25,22,Zameer Naik,39,M,A1
26,22,Roopa Poojary,43,F,A2
27,26,Fatima Poojary,34,F,A1
28,26,Roopa Achar,34,F,A2
29,27,Jagadish Achar,39,M,A1
30,27,Mahesh Gowda,39,M,A2
31,28,Zameer Fernandes,29,M,A1
32,28,Lokesh Achar,23,M,A2
33,29,Usha Sheikh,21,F,A1
34,29,Usha Sheikh,21,F,A2
35,29,Zeenath Patil,32,F,A3
36,30,Zameer Fernandes,31,M,A1
37,31,Kavya Nair,25,F,A1
38,33,Meena Shetty,40,F,A1
39,34,Anitha Setty,53,F,A1
40,35,Roopa Gowda,29,F,A1
41,38,Ullas Patil,22,M,A1
42,39,Chandru Naik,37,M,A1
43,39,Thimmaiah Hegde,40,M,A2
44,39,Sowmya Naik,46,F,A3
45,39,Sunitha Kumar,37,F,A4
46,42,Vani Kumar,34,F,A1
47,42,Yusuf Fernandes,45,M,A2
48,43,Thimmaiah Naik,26,M,A1
49,43,Ravi Khan,31,M,A2
50,43,Ayesha Patil,54,F,A3
51,43,Gopal Fernandes,43,M,A4
52,43,Thimmaiah Naik,26,M,A5
53,44,Shwetha Rao,32,F,A1
54,45,Sowmya Reddy,49,F,A1
55,45,Yamuna Setty,23,F,A2
56,46,Sowmya Rao,20,F,A1
57,46,Radha Achar,23,F,A2
58,47,Puneeth Shetty,24,M,A1
59,47,Zeenath Nair,40,F,A2
60,47,Krishna Kumar,41,M,A3
61,47,Shwetha Achar,26,F,A4
62,47,Shankar Sheikh,31,M,A5
63,48,Manjunath Patil,48,M,A1
64,48,Arjun Fernandes,47,M,A2
65,49,Yogesh Fernandes,42,M,A1
66,50,Deepa Shetty,33,F,A1
67,51,Ayesha Nair,36,F,A1
68,52,Zeenath Nair,21,F,A1
69,54,Vijayalakshmi Naik,35,F,A1
70,55,Latha Nair,51,F,A1
71,55,Deepa Achar,42,F,A2
72,55,Raghu Naik,39,M,A3
73,56,Thimmaiah Naik,27,M,A1
74,56,Zeenath Setty,54,F,A2
75,56,Manjunath Achar,50,M,A3
76,56,Vinay Hegde,36,M,A4
77,57,Naveen Achar,39,M,A1
78,57,Radha Rao,24,F,A2
79,60,Basavaraj Sheikh,28,M,A1
80,62,Ayesha Reddy,22,F,A1
81,62,Nandini Achar,21,F,A2
82,64,Triveni Poojary,22,F,A1
83,64,Nandini Achar,41,F,A2
84,64,Om Kumar,55,M,A3
85,64,Vijayalakshmi Naik,34,F,A4
86,64,Sunitha Patil,40,F,A5
87,65,Radha Rao,46,F,A1
88,65,Zeenath Patil,25,F,A2
89,66,Shankar Khan,18,M,A1
90,67,Nandini Poojary,38,F,A1
91,67,Arjun Patil,47,M,A2
92,69,Shwetha Shetty,55,F,A1
93,69,Jagadish Naik,36,M,A2
94,70,Fatima Nair,39,F,A1
95,70,Vani Shetty,48,F,A2
96,71,Puneeth Achar,37,M,A1
97,72,Pooja Rao,46,F,A1
98,72,Thimmaiah Hegde,40,M,A2
99,75,Santosh Sheikh,33,M,A1
100,75,Jagadish Kumar,22,M,A2
101,76,Krishna Hegde,27,M,A1
102,79,Venkatesh Setty,54,M,A1
103,79,Raghu Kumar,34,M,A2
104,80,Naveen Achar,41,M,A1
105,80,Ravi Poojary,29,M,A2
106,80,Manjunath Sheikh,30,M,A3
107,83,Ravi Poojary,29,M,A1
108,85,Zameer Kumar,55,M,A1
109,85,Anthony Hegde,30,M,A2
110,86,Imran Nair,42,M,A1
111,86,Harish Kumar,52,M,A2
112,87,Naveen Naik,28,M,A1
113,87,Krishna Hegde,26,M,A2
114,88,Ravi Naik,45,M,A1
115,89,Krishna Naik,41,M,A1
116,89,Santosh Setty,30,M,A2
117,89,Meena Gowda,27,F,A3
118,90,Krishna Khan,41,M,A1
119,91,Krishna Rao,35,M,A1
120,92,Fatima Setty,42,F,A1
121,93,Lokesh Patil,33,M,A1
122,94,Imran Setty,51,M,A1
123,94,Kavya Hegde,22,F,A2
124,94,Gopal Kumar,24,M,A3
125,96,Triveni Hegde,23,F,A1
126,97,Fatima Shetty,40,F,A1
127,97,Triveni Reddy,45,F,A2
128,99,Ullas Naik,20,M,A1
129,99,Suresh Gowda,33,M,A2
130,99,Roopa Gowda,49,F,A3
131,99,Suresh Gowda,33,M,A4
132,99,Suresh Gowda,33,M,A5
133,100,Iqbal Achar,48,M,A1
134,101,Usha Hegde,41,F,A1
135,101,Sowmya Kumar,30,F,A2
136,102,Sunitha Hegde,35,F,A1
137,104,Roopa Nair,48,F,A1
138,104,Ayesha Shetty,43,F,A2
139,105,Sunitha Gowda,42,F,A1
140,105,Vinay Nair,24,M,A2
141,107,Radha Kumar,39,F,A1
142,107,Ayesha Reddy,24,F,A2
143,108,Sowmya Gowda,42,F,A1
144,108,Deepa Sheikh,42,F,A2
145,109,Lokesh Shetty,34,M,A1
146,110,Mahesh Achar,24,M,A1
147,110,Zeenath Nair,37,F,A2
148,111,Santosh Nair,22,M,A1
149,111,Gopal Patil,47,M,A2
150,112,Meena Hegde,40,F,A1
151,113,Prakash Sheikh,46,M,A1
152,115,Suresh Achar,21,M,A1
153,115,Pooja Hegde,44,F,A2
154,116,Nataraj Patil,25,M,A1
155,118,Naveen Poojary,28,M,A1
156,119,Kavya Khan,47,F,A1
157,120,Ullas Hegde,22,M,A1
158,121,Chandru Gowda,29,M,A1
159,121,Latha Kumar,41,F,A2
160,122,Yamuna Achar,29,F,A1
161,122,Chandru Reddy,43,M,A2
162,123,Fatima Nair,27,F,A1
163,123,Radha Achar,50,F,A2
164,124,Vani Setty,54,F,A1
165,125,Gopal Patil,39,M,A1
166,125,Yogesh Gowda,36,M,A2
167,126,Iqbal Reddy,32,M,A1
168,129,Raghu Hegde,41,M,A1
169,130,Ravi Poojary,51,M,A1
170,131,Sunitha Kumar,36,F,A1
171,133,Pooja Rao,25,F,A1
172,133,Prakash Hegde,51,M,A2
173,135,Puneeth Hegde,27,M,A1
174,136,Lokesh Shetty,34,M,A1
175,138,Harish Patil,34,M,A1
176,138,Naveen Naik,29,M,A2
177,139,Vijayalakshmi Reddy,41,F,A1
178,140,Deepa Gowda,55,F,A1
179,140,Venkatesh Shetty,30,M,A2
180,140,Mahesh Sheikh,40,M,A3
181,141,Raghu Khan,19,M,A1
182,141,Basavaraj Reddy,42,M,A2
183,143,Harish Hegde,21,M,A1
184,143,Nandini Kumar,44,F,A2
185,144,Anthony Patil,21,M,A1
186,144,Basavaraj Poojary,26,M,A2
187,145,Ravi Nair,20,M,A1
188,146,Fatima Fernandes,49,F,A1
189,146,Triveni Hegde,23,F,A2
190,147,Fatima Patil,41,F,A1
191,147,Harish Hegde,53,M,A2
192,152,Vinay Gowda,28,M,A1
193,152,Puneeth Rao,38,M,A2
194,152,Manjunath Rao,46,M,A3
195,153,Sunitha Setty,45,F,A1
196,154,Sunitha Kumar,36,F,A1
197,154,Vani Patil,19,F,A2
198,155,Thimmaiah Naik,55,M,A1
199,156,Basavaraj Shetty,35,M,A1
200,159,Nandini Rao,32,F,A1
201,159,Vani Sheikh,33,F,A2
202,160,Harish Khan,23,M,A1
203,160,Raghu Kumar,54,M,A2
204,160,Ayesha Naik,44,F,A3
205,161,Vijayalakshmi Setty,24,F,A1
206,164,Anthony Khan,34,M,A1
207,165,Manjunath Hegde,29,M,A1
208,165,Yusuf Nair,24,M,A2
209,167,Venkatesh Achar,52,M,A1
210,170,Thimmaiah Naik,26,M,A1
211,171,Harish Achar,28,M,A1
212,171,Roopa Fernandes,38,F,A2
213,171,Yogesh Setty,54,M,A3
214,171,Roopa Gowda,52,F,A4
215,172,Deepa Naik,41,F,A1
216,172,Arjun Patil,21,M,A2
217,173,Naveen Patil,46,M,A1
218,174,Sowmya Nair,40,F,A1
219,175,Vinay Kumar,22,M,A1
220,175,Harish Khan,23,M,A2
221,177,Meena Nair,25,F,A1
222,181,Basavaraj Sheikh,30,M,A1
223,181,Yamuna Setty,43,F,A2
224,182,Shankar Nair,37,M,A1
225,182,Thimmaiah Kumar,46,M,A2
226,183,Anthony Poojary,26,M,A1
227,183,Radha Nair,32,F,A2
228,185,Venkatesh Sheikh,29,M,A1
229,189,Ayesha Gowda,42,F,A1
230,190,Puneeth Hegde,28,M,A1
231,191,Venkatesh Naik,34,M,A1
232,191,Arjun Naik,38,M,A2
233,191,Venkatesh Sheikh,49,M,A3
234,191,Thimmaiah Shetty,18,M,A4
235,192,Shwetha Sheikh,33,F,A1
236,192,Ullas Poojary,24,M,A2
237,193,Meena Naik,50,F,A1
238,194,Kavya Patil,43,F,A1
239,195,Zameer Fernandes,29,M,A1
240,195,Imran Khan,28,M,A2
241,197,Zameer Fernandes,29,M,A1
242,198,Lokesh Shetty,34,M,A1
243,198,Om Rao,40,M,A2
244,198,Lokesh Nair,50,M,A3
245,198,Usha Nair,36,F,A4
246,198,Harish Poojary,30,M,A5
247,198,Meena Poojary,25,F,A6
248,198,Manjunath Shetty,39,M,A7
249,199,Pooja Gowda,53,F,A1
250,199,Zeenath Nair,55,F,A2
251,200,Basavaraj Sheikh,29,M,A1
252,202,Kavya Nair,29,F,A1
253,202,Yamuna Kumar,34,F,A2
254,203,Vani Sheikh,24,F,A1
255,203,Vani Hegde,51,F,A2
256,204,Jagadish Hegde,43,M,A1
257,206,Venkatesh Rao,49,M,A1
258,206,Naveen Setty,28,M,A2
259,207,Vani Sheikh,27,F,A1
260,208,Yamuna Reddy,49,F,A1
261,208,Prakash Gowda,18,M,A2
262,210,Triveni Nair,54,F,A1
263,211,Imran Gowda,24,M,A1
264,213,Basavaraj Gowda,36,M,A1
265,214,Raghu Naik,20,M,A1
266,214,Sowmya Kumar,43,F,A2
267,216,Vijayalakshmi Nair,29,F,A1
268,216,Sunitha Khan,50,F,A2
269,217,Anthony Poojary,24,M,A1
270,217,Pooja Khan,52,F,A2
271,218,Santosh Sheikh,48,M,A1
272,218,Roopa Fernandes,20,F,A2
273,218,Usha Hegde,19,F,A3
274,218,Naveen Fernandes,36,M,A4
275,220,Sunitha Rao,24,F,A1
276,222,Nandini Rao,41,F,A1
277,223,Lokesh Kumar,44,M,A1
278,224,Ayesha Poojary,47,F,A1
279,225,Om Setty,40,M,A1
280,225,Jagadish Nair,27,M,A2
281,228,Sunitha Kumar,37,F,A1
282,228,Thimmaiah Hegde,40,M,A2
283,229,Zameer Patil,49,M,A1
284,229,Sunitha Khan,24,F,A2
285,229,Fatima Achar,51,F,A3
286,229,Deepa Patil,19,F,A4
287,230,Zeenath Sheikh,48,F,A1
288,230,Nandini Rao,43,F,A2
289,230,Sowmya Shetty,38,F,A3
290,231,Naveen Hegde,23,M,A1
291,233,Naveen Achar,40,M,A1
292,234,Sowmya Gowda,41,F,A1
293,234,Pooja Gowda,41,F,A2
294,234,Kavya Poojary,44,F,A3
295,234,Yogesh Sheikh,22,M,A4
296,235,Mahesh Achar,32,M,A1
297,236,Suresh Kumar,40,M,A1
298,237,Usha Fernandes,22,F,A1
299,238,Santosh Naik,35,M,A1
300,238,Vinay Rao,35,M,A2
301,238,Arjun Poojary,34,M,A3
302,238,Arjun Poojary,34,M,A4
303,239,Radha Achar,55,F,A1
304,240,Fatima Nair,40,F,A1
305,240,Nataraj Hegde,37,M,A2
306,241,Usha Sheikh,19,F,A1
307,241,Basavaraj Khan,45,M,A2
308,243,Nandini Poojary,36,F,A1
309,243,Ravi Poojary,27,M,A2
310,244,Shwetha Kumar,30,F,A1
311,244,Deepa Patil,38,F,A2
312,248,Harish Kumar,41,M,A1
313,249,Usha Gowda,25,F,A1
314,249,Zameer Nair,20,M,A2
315,249,Basavaraj Sheikh,30,M,A3
316,250,Suresh Kumar,32,M,A1
317,250,Venkatesh Fernandes,26,M,A2
318,251,Yamuna Achar,29,F,A1
319,251,Krishna Fernandes,52,M,A2
320,251,Mahesh Rao,20,M,A3
321,254,Venkatesh Fernandes,52,M,A1
322,255,Shwetha Nair,38,F,A1
323,255,Lokesh Shetty,33,M,A2
324,256,Usha Poojary,46,F,A1
325,256,Santosh Nair,31,M,A2
326,256,Shwetha Shetty,47,F,A3
327,257,Zameer Rao,42,M,A1
328,257,Gopal Rao,44,M,A2
329,258,Meena Kumar,18,F,A1
330,259,Ayesha Reddy,23,F,A1
331,259,Zeenath Rao,53,F,A2
332,260,Santosh Sheikh,30,M,A1
333,260,Usha Shetty,38,F,A2
334,260,Thimmaiah Sheikh,23,M,A3
335,260,Harish Khan,24,M,A4
336,260,Zeenath Kumar,51,F,A5
337,260,Yusuf Poojary,30,M,A6
338,260,Prakash Patil,27,M,A7
339,261,Vani Poojary,45,F,A1
340,262,Krishna Shetty,42,M,A1
341,264,Arjun Sheikh,36,M,A1
342,265,Yamuna Achar,29,F,A1
343,266,Gopal Shetty,21,M,A1
344,266,Usha Fernandes,47,F,A2
345,267,Meena Gowda,29,F,A1
346,268,Radha Nair,19,F,A1
347,269,Krishna Hegde,25,M,A1
348,269,Ayesha Reddy,22,F,A2
349,270,Latha Hegde,44,F,A1
350,272,Om Patil,30,M,A1
351,272,Meena Gowda,28,F,A2
352,272,Gopal Poojary,51,M,A3
353,273,Ayesha Fernandes,55,F,A1
