VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Anitha Achar,8,F,0
2,2,Roopa Poojary,27,T,0
3,2,Jagadish Sheikh,36,M,0
4,3,Naveen Kumar,54,M,0
5,3,Raghu Rao,72,M,0
6,4,Usha Shetty,13,F,0
7,5,Meena Fernandes,31,F,0
8,6,Kavya Gowda,13,T,0
9,6,Triveni Setty,21,F,0
10,7,Ayesha Hegde,10,F,0
11,7,Vijayalakshmi Patil,74,F,0
12,8,Vani Rao,51,T,0
13,8,Lokesh Kumar,17,M,0
14,9,Deepa Reddy,21,F,0
15,9,Anitha Hegde,70,F,0
16,10,Ravi Nair,32,M,0
17,11,Vijayalakshmi Reddy,70,T,0
18,11,Triveni Nair,15,F,0
19,12,Lokesh Patil,64,M,0
20,13,Om Hegde,59,M,0
21,14,Iqbal Fernandes,37,M,0
22,15,Triveni Khan,68,T,0
23,15,Jagadish Gowda,37,M,0
24,16,Shwetha Reddy,7,T,0
25,16,Sunitha Reddy,9,T,0
26,17,Sowmya Fernandes,31,F,0
27,18,Roopa Khan,30,T,0
28,19,Zeenath Patil,39,T,0
29,19,Yamuna Rao,71,T,0
30,20,Pooja Achar,69,F,0
31,20,Kavya Sheikh,66,T,0
32,21,Usha Sheikh,67,T,0
33,21,Nataraj Naik,63,M,0
34,22,Radha Sheikh,23,T,0
35,23,Radha Hegde,12,T,0
36,23,Roopa Poojary,16,T,0
37,24,Kavya Shetty,65,F,0
38,24,Sowmya Kumar,55,F,0
39,25,Jagadish Hegde,19,M,0
40,25,Zeenath Poojary,23,F,0
41,26,Nandini Nair,34,T,0
42,26,Latha Kumar,26,T,0
43,27,Kavya Achar,6,T,0
44,27,Nataraj Gowda,13,M,0
45,28,Pooja Fernandes,58,T,0
46,29,Vijayalakshmi Patil,71,T,0
47,29,Fatima Nair,44,F,0
48,30,Anitha Reddy,75,T,0
49,31,Latha Setty,28,F,0
50,31,Triveni Setty,46,F,0
51,32,Anitha Poojary,38,F,0
52,33,Kavya Naik,11,F,0
53,34,Triveni Sheikh,69,F,0
54,35,Raghu Nair,10,M,0
55,35,Om Reddy,9,M,0
56,36,Pooja Setty,36,T,0
57,37,Manjunath Naik,23,M,0
58,38,Ullas Naik,32,M,0
59,39,Lokesh Kumar,51,M,0
60,39,Shwetha Sheikh,9,F,0
61,40,Deepa Naik,51,T,0
62,41,Basavaraj Setty,60,M,0
63,42,Triveni Rao,69,F,0
64,43,Usha Sheikh,24,T,0
65,43,Kavya Fernandes,27,F,0
66,43,Sowmya Rao,18,T,0
67,43,Sunitha Setty,56,T,0
68,43,Vani Sheikh,61,T,0
69,44,Nandini Setty,30,F,0
70,44,Vinay Patil,72,M,0
71,45,Krishna Achar,32,M,0
72,46,Sowmya Khan,13,T,0
73,46,Manjunath Naik,13,M,0
74,47,Nandini Sheikh,73,T,0
75,47,Nandini Hegde,30,F,0
76,47,Sunitha Poojary,56,F,0
77,47,Shwetha Naik,23,F,0
78,47,Shwetha Nair,7,T,0
79,48,Sunitha Achar,56,F,0
80,49,Anitha Poojary,8,T,0
81,49,Shankar Fernandes,25,M,0
82,50,Jagadish Achar,29,M,0
83,50,Thimmaiah Kumar,61,M,0
84,51,Fatima Nair,58,T,0
85,52,Ravi Poojary,56,M,0
86,52,Roopa Shetty,15,F,0
87,53,Krishna Achar,20,M,0
88,53,Pooja Poojary,25,F,0
89,54,Ayesha Setty,42,F,0
90,54,Fatima Achar,62,T,0
91,55,Fatima Setty,11,T,0
92,55,Arjun Gowda,45,M,0
93,56,Santosh Kumar,10,M,0
94,56,Vani Reddy,61,F,0
95,57,Thimmaiah Gowda,9,M,0
96,57,Venkatesh Sheikh,42,M,0
97,58,Shwetha Gowda,40,F,0
98,59,Nandini Patil,32,F,0
99,59,Yamuna Setty,38,F,0
100,60,Anitha Setty,11,F,0
101,60,Triveni Gowda,22,F,0
102,61,Prakash Rao,14,M,0
103,62,Nandini Patil,13,F,0
104,62,Harish Fernandes,28,M,0
105,63,Suresh Sheikh,51,M,0
106,64,Ullas Reddy,37,M,0
107,65,Anitha Hegde,6,T,0
108,66,Kavya Poojary,72,F,0
109,66,Iqbal Fernandes,69,M,0
110,67,Vijayalakshmi Reddy,58,F,0
111,67,Meena Nair,34,T,0
112,68,Fatima Reddy,13,F,0
113,68,Yamuna Patil,62,F,0
114,69,Zameer Khan,57,M,0
115,70,Nandini Poojary,13,T,0
116,70,Roopa Rao,44,F,0
117,71,Anitha Naik,15,F,0
118,71,Triveni Khan,64,T,0
119,72,Chandru Rao,27,M,0
120,72,Mahesh Gowda,60,M,0
121,73,Latha Shetty,75,T,0
122,74,Triveni Patil,23,T,0
123,74,Venkatesh Hegde,32,M,0
124,75,Roopa Gowda,28,F,0
125,76,Triveni Kumar,66,F,0
126,76,Ayesha Khan,36,F,0
127,77,Anitha Reddy,10,F,0
128,77,Roopa Rao,65,F,0
129,78,Pooja Achar,72,F,0
130,78,Roopa Shetty,45,T,0
131,79,Vijayalakshmi Naik,53,T,0
132,80,Radha Gowda,62,F,0
133,80,Yamuna Setty,6,F,0
134,81,Prakash Shetty,30,M,0
135,81,Yusuf Patil,6,M,0
136,82,Meena Fernandes,64,F,0
137,83,Zeenath Patil,26,T,0
138,83,Yamuna Reddy,22,T,0
139,84,Meena Khan,73,F,0
140,85,Mahesh Setty,51,M,0
141,86,Meena Rao,74,T,0
142,86,Shankar Rao,7,M,0
143,87,Roopa Fernandes,67,F,0
144,87,Zameer Patil,10,M,0
145,88,Pooja Sheikh,24,F,0
146,89,Vinay Poojary,24,M,0
147,90,Krishna Poojary,71,M,0
148,90,Kavya Fernandes,32,T,0
149,91,Vani Naik,35,F,0
150,92,Latha Rao,9,F,0
151,93,Pooja Sheikh,55,F,0
152,93,Arjun Shetty,63,M,0
153,94,Anitha Naik,35,F,0
154,95,Anitha Fernandes,49,F,0
155,95,Usha Kumar,20,F,0
156,96,Chandru Fernandes,40,M,0
157,96,Anitha Gowda,17,F,0
158,97,Vijayalakshmi Khan,18,T,0
159,97,Latha Fernandes,42,T,0
160,98,Anthony Poojary,60,M,0
161,99,Triveni Reddy,24,F,0
162,99,Meena Reddy,28,F,0
163,100,Pooja Nair,46,T,0
164,100,Ravi Reddy,28,M,0
165,101,Roopa Patil,27,F,0
166,102,Usha Patil,20,F,0
167,103,Harish Khan,21,M,0
168,103,Imran Hegde,18,M,0
169,104,Nandini Poojary,75,F,0
170,105,Sunitha Gowda,56,F,0
171,106,Naveen Patil,20,M,0
172,106,Jagadish Sheikh,68,M,0
173,107,Vani Khan,49,F,0
174,107,Yogesh Gowda,24,M,0
175,108,Pooja Reddy,41,F,0
